url,label
https://example.com,0
https://www.python.org/downloads/,0
https://scikit-learn.org/stable/,0
https://docs.python.org/3/library/urllib.parse.html,0
https://github.com/openai,0
https://www.nasa.gov/,0
https://www.microsoft.com/en-us/,0
https://www.wikipedia.org/,0
https://www.khanacademy.org/learn,0
https://www.nytimes.com/,0
https://www.mozilla.org/en-US/firefox/,0
https://www.apple.com/support/,0
https://accounts.google.com,0
https://portal.example.com/account,0
http://192.168.1.10/login/verify,1
http://secure-login-account-update.tk/confirm,1
http://paypal.com.user-verification.xyz/login,1
http://verify-billing-information.top/account/password,1
http://198.51.100.24/secure/login?user=admin,1
http://account-recovery.example.ml/authenticate?session=12345,1
http://wallet-confirmation.cf/update/payment,1
http://login.verify-user.gq/credential/unlock,1
http://secure--account--validation.xyz/confirm?email=user%40example.com,1
http://free-prize-winner.top/claim/reward,1
http://10.0.0.2:8080/bank/login?verify=true,1
http://signin-account-security.tk/password/reset,1
http://update-payment-information.xyz/secure/confirm,1
http://user@secure-login.example.top/verify,1
http://xn--account-9za.example.ml/authentication,1
http://198.51.100.42/a/very/long/path/with/many/digits/1234567890/verify,1
https://malicious.com/login,1
https://phishing-test.example.com/verify,1
